ERA Code,ERA Acronym,ERA Conference Name,Acronym,Conference Name (DBLP),GS Venue Code,GS Name,Google Scholar H5-Index 2023,Google Scholar H5-Index 2022,CORE ID,CORE Conference Name,ICORE 2023 Rank,CORE 2021 Rank,CORE 2020 Rank,CORE 2018 Rank,ERA 2010 Rank,DBLP Link,DBLP URL,Google Scholar Metrics Link,GS URL,Comment
42707,DATE,"Design, Automation and Test in Europe Conference and Exhibition",DATE,"Design, Automation, and Test in Europe",cP2AyDfWCcQJ,"Design, Automation & Test in Europe Conference & Exhibition, DATE",49,48,421,"Design, Automation and Test in Europe Conference",B,B,B,B,B,View,https://dblp.org/db/conf/date/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=cP2AyDfWCcQJ.2023,
42691,DCC,Data Compression Conference,DCC,Data Compression Conference,LPPIEKh-lyEJ,"Data Compression Conference, DCC",25,23,408,Data Compression Conference,B,B,A*,A*,A,View,https://dblp.org/db/conf/dcc/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=LPPIEKh-lyEJ.2023,Reranked to B from A* in CORE 2021 ranking.
42938,DCOSS,IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,International Conference on Distributed Computing in Sensor Systems,ps72WqVeHX4J,IEEE International Conference on Distributed Computing in Sensor Systems,21,20,644,IEEE International Conference on Distributed Computing in Sensor Systems,B,B,B,B,B,View,https://dblp.org/db/conf/dcoss/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=ps72WqVeHX4J.2023,
42709,DIS,Conference on Designing Interactive Systems,DIS,Conference on Designing Interactive Systems,NL3siS1OXxYJ,Conference on Designing Interactive Systems,44,41,422,Designing Interactive Systems,A,A,B,B,B,View,https://dblp.org/db/conf/ACMdis/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=NL3siS1OXxYJ.2023,
43679,DISC,International Symposium on Distributed Computing (was WDAG),DISC,International Symposium on Distributed Computing,I09_2V3FJhwJ,International Symposium on Distributed Computing (DISC),24,23,1374,International Symposium on Distributed Computing (was WDAG),A,A,A,A,A,View,https://dblp.org/db/conf/wdag/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=I09_2V3FJhwJ.2023,Added 13/08/2021 as it met objective criteria. Request made by Aamir Cheema (SSC).
,,,DSAA,International Conference on Data Science and Advanced Analytics,,"IEEE International Conference on Data Science and Advanced Analytics (DSAA)
",23,21,2237,IEEE International Conference on Data Science and Advanced Analytics,B,A,-,-,-,View,https://dblp.org/db/conf/dsaa/index.html,View,https://scholar.google.com/citations?hl=en&view_op=list_hcore&venue=ZHdJbJwh40EJ.2023,Met objective criteria as at April 2024
43088,DSN,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,Dependable Systems and Networks,MVYbyyKMpToJ,IEEE/IFIP International Conference on Dependable Systems and Networks,37,34,787,IEEE/IFIP International Conference on Dependable Systems and Networks,A,A,A,A,A,View,https://dblp.org/db/conf/dsn/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=MVYbyyKMpToJ.2023,
42976,DYSPAN,IEEE International Symposium on Dynamic Spectrum Access Networks,DySPAN,International Symposium on Dynamic Spectrum Access Networks,0y6OyqiGt8MJ,IEEE Symposium on New Frontiers in Dynamic Spectrum Access Networks,21,20,2010,IEEE Dynamic Spectrum Access Networks,-,-,-,B,-,View,https://dblp.org/db/conf/dyspan/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=0y6OyqiGt8MJ.2023,"Ranked B in CORE2018, removed in 2020.  No longer indexed by DBLP."
50707,International Conference on Future Energy Systems,ACM e-Energy,e-Energy,ACM International Conference on Future Energy Systems,Qwg7kl8bfO4J,ACM International Conference on Future Energy Systems,22,21,-,,-,-,-,-,-,View,https://dblp.org/db/conf/eenergy/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=Qwg7kl8bfO4J.2023,Added 27/07/2022 as it met objective criteria. Request made by Mark Wallace (DSAI).
42764,EACL,Conference of the European Chapter of the Association for Computational Linguistics,EACL,Conference of the European Chapter of the Association for Computational Linguistics,JnFTLT-D1FUJ,Conference of the European Chapter of the Association for Computational Linguistics (EACL),38,62,468,European Association for Computational Linguistics,A,A,A,A,A,View,https://dblp.org/db/conf/eacl/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=JnFTLT-D1FUJ.2023,
43345,EASE,International Conference on Evaluation and Assessment in Software Engineering,EASE,International Conference on Evaluation & Assessment in Software Engineering,jk7nbKX2c8EJ,International Conference on Evaluation and Assessment in Software Engineering,22,23,1022,International Conference on Evaluation and Assessment in Software Engineering,A,A,A,A,A,View,https://dblp.org/db/conf/ease/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=jk7nbKX2c8EJ.2023,Added 13/08/2021 as it met objective criteria. Request made by Aamir Cheema (SSC).
42280,EC,ACM Conference on Electronic Commerce,EC,ACM Conference on Economics and Computation,dpWPf1oNwIgJ,ACM Conference on Electronic Commerce,51,45,14,ACM Conference on Economics and Computation,A*,A*,A*,A*,B,View,https://dblp.org/db/conf/sigecom/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=dpWPf1oNwIgJ.2023,
72008,European Conference on Technology Enhanced Learning (EC-TEL),EC-TEL,EC-TEL,European Conference on Technology Enhanced Learning,_1QDFIU09Q8J,European Conference on Technology Enhanced Learning,19,,2262,European Conference on Technology Enhanced Learning,B,B,-,-,-,View,https://dblp.org/db/conf/ectel/index.html,View,https://scholar.google.com/citations?view_op=list_hcore&venue=_1QDFIU09Q8J.2023,Met objective criteria in August 2023.  Requested by Vanessa Echeverria (HCC).
42769,ECAI,European Conference on Artificial Intelligence (ECAI),ECAI,European Conference on Artificial Intelligence,ryLBm7fgHNMJ,European Conference on Artificial Intelligence (ECAI),29,23,473,European Conference on Artificial Intelligence,A,A,A,A,A,View,https://dblp.org/db/conf/ecai/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=ryLBm7fgHNMJ.2023,
42772,ECCV,European Conference on Computer Vision,ECCV,European Conference on Computer Vision,cwIh2C-xo8kJ,European Conference on Computer Vision,238,186,479,European Conference on Computer Vision,A*,A*,A,A,A,View,https://dblp.org/db/conf/eccv/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=cwIh2C-xo8kJ.2023,Reranked to A* from A in CORE 2021 ranking.
42777,ECIR,European Conference on Information Retrieval,ECIR,European Conference on Advances in Information Retrieval,02SGYBvIz80J,European Conference on Advances in Information Retrieval,37,31,483,European Conference on Information Retrieval,A,A,A,A,B,View,https://dblp.org/db/conf/ecir/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=02SGYBvIz80J.2023,
42778,ECIS,European Conference on Information Systems,ECIS,European Conference on Information Systems,dF8xpB0_PnwJ,European Conference on Information Systems,37,37,1243,International Conference on the Theory and Application of Cryptology and Information Security,A,A,A,A,A,View,https://dblp.org/db/conf/ecis/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=dF8xpB0_PnwJ.2023,
71983,ECML PKDD,European Conference on Machine Learning and Knowledge Discovery in Databases,ECML,European Conference on Machine Learning,B_DfwWWmEnMJ,European Conference on Machine Learning and Knowledge Discovery in Databases,42,40,491,European Conference on Machine Learning,A,A,A,A,A,View,https://dblp.org/db/conf/ecml/,View,https://scholar.google.com/citations?view_op=list_hcore&venue=B_DfwWWmEnMJ.2023,(PKDD and ECML combined from 2008)
